id	menu_title
1	Administra??o
2	Gerenciamento de usu?rios
3	Informa??es do projeto
9	Situa??o do v?nculo
12	Organiza??o
13	Informa??es gerais
16	Qualifica??es
17	Compet?ncias
19	Licen?as
21	Associa??es
23	Configura??o
24	Configura??o de e-mail
27	Localiza??o
28	M?dulos
31	Configura??o
34	Importa??o de dados
35	M?todos de relat?rio
39	Relat?rios
41	F?rias
43	Per?odo de f?rias
44	Tipos de f?rias
48	Lista de f?rias
49	Atribuir f?rias
50	Minhas f?rias
56	Frequ?ncia
58	Entrada/Sa?da
60	Configura??o
61	Relat?rios
62	Relat?rios de projeto
63	Relat?rios de colaboradores
64	Resumo de frequ?ncia
78	Relat?rios
79	Relat?rio de saldos e uso de f?rias
80	Meu relat?rio de saldos e uso de f?rias
81	Usu?rios
85	Gerenciar avalia??es
87	Gerenciar avalia??es
88	Minhas avalia??es
89	Avalia??es dos colaboradores
93	Diret?rio
94	Autentica??o por rede social
96	Manuten??o
104	Configura??o LDAP
105	Solicita??es
106	Configura??o
109	Enviar solicita??o
110	Minhas solicita??es
111	Solicita??es de colaboradores
112	Atribuir solicita??o
